#{"t_start": 1790245951.9653053, "env_id": "LunarLander-v3"}
r,l,t
194.803624,770,154.946653
-27.166547,526,155.933425
155.879554,567,156.183307
137.10407,953,156.627872
151.497595,649,157.753282
54.997325,1000,158.230334
-72.699786,492,159.381289
-74.275271,582,159.684108
139.39524,653,159.985256
143.318384,941,161.272146
-17.971283,1000,161.728947
-58.365453,1000,163.110913
85.893114,1000,163.590282
156.499724,637,163.919823
115.841484,885,165.249237
-134.025828,572,165.545987
174.469195,869,166.835876
138.131597,964,167.305847
208.146297,487,167.558337
166.044555,733,168.820757
-101.451745,409,169.018701
-81.606731,281,169.143183
-94.068197,733,169.5014
187.259218,572,170.648495
118.389667,646,170.969767
184.069841,673,171.285271
-32.795781,315,171.433109
-72.210754,605,172.616762
176.527779,866,173.023679
-88.090873,705,173.333331
161.091247,919,174.702063
36.846207,1000,175.13517
-58.019906,425,176.141099
153.448445,517,176.391606
-101.21567,497,176.62171
-115.797895,555,176.843134
-104.547109,349,176.988175
-133.731262,461,177.954506
-3.767805,1000,178.393948
